file,error_category,error_message_excerpt,recommended_action
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-19-build-execution.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/t,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-19-build-execution.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/t,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-19-build-execution.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/t,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-19-build-execution.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/t,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-20-quality-assurance.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-20-quality-assurance.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-20-quality-assurance.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-20-quality-assurance.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-21-build-review.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-21-build-review.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-21-build-review.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-21-build-review.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-22-release-readiness.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-22-release-readiness.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-22-release-readiness.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/build-loop-real-data.test.js,cannot-find-module,Error: Cannot find module '/lib/eva/stage-templates/analysis-steps/stage-22-release-readiness.js' imported from C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001,Manual triage: import path may reference removed/moved module; check git log for recent deletions.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,AssertionError: expected '' to be 'AutoTest AI' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,"AssertionError: expected ""vi.fn()"" to be called 4 times, but got 0 times","Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,"AssertionError: expected ""vi.fn()"" to be called 2 times, but got 0 times","Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,AssertionError: expected undefined to be defined,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,AssertionError: expected 'client.complete is not a function' to be 'Could not parse analysis' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,AssertionError: expected 'client.complete is not a function' to be 'Rate limited' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,AssertionError: expected '' to be 'AutoPilot' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,AssertionError: expected 'client.complete is not a function' to be 'Context too long' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,"AssertionError: the given combination of arguments (undefined and string) is invalid for this assertion. You can use an array, a map, an object, a set, a string, or a weakset instead of a string","Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/competitor-teardown.test.js,real-assertion-failure,AssertionError: expected 'client.complete is not a function' to be 'Gap analysis failed' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,other,TypeError: Cannot read properties of null (reading 'origin_type'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,other,TypeError: Cannot read properties of null (reading 'origin_type'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,other,TypeError: Cannot read properties of null (reading 'origin_type'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,other,TypeError: Cannot read properties of null (reading 'raw_material'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,other,TypeError: Cannot read properties of null (reading 'raw_material'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,other,TypeError: Cannot read properties of null (reading 'raw_material'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,real-assertion-failure,"AssertionError: expected ""vi.fn()"" to be called with arguments: [ StringContaining ""3 candidate"" ]","Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,other,TypeError: Cannot read properties of null (reading 'origin_type'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,real-assertion-failure,"AssertionError: expected ""vi.fn()"" to be called with arguments: [ StringContaining ""Rate limited"" ]","Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/discovery-mode.test.js,real-assertion-failure,"AssertionError: expected ""vi.fn()"" to be called with arguments: [ StringContaining ""Context too long"" ]","Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected '1.0.0' to be '2.0.0' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,"AssertionError: expected undefined to deeply equal [ 'architecture', …(4) ]","Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,TypeError: Cannot read properties of undefined (reading 'map'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,TypeError: Cannot read properties of undefined (reading 'map'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected undefined to be 5 // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected '3.0.0' to be '2.0.0' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected false to be true // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected false to be true // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected undefined to be 2 // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected false to be true // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected undefined to be 4 // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected '3.0.0' to be '2.0.0' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected false to be true // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected false to be true // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected undefined to be true // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected undefined to be false // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected '3.0.0' to be '2.0.0' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected undefined to be 2 // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected '3.0.0' to be '2.0.0' // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,real-assertion-failure,AssertionError: expected undefined to be 2 // Object.is equality,"Manual triage: investigate assertion. May be real bug, stale test, or test for removed behavior — see git log for the file."
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,"TypeError: (0 , __vite_ssr_import_6__.evaluatePromotionGate) is not a function",Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
C:/Users/rickf/Projects/_EHG/EHG_Engineer/.worktrees/SD-LEO-INFRA-COVERAGE-CI-TRIAGE-001/test/unit/eva-build-loop-templates.test.js,other,TypeError: Cannot read properties of undefined (reading 'map'),Manual triage: error pattern unrecognized; consider adding a new bucket if recurring.
