Index,File Name,File Path,Class Name,Category,Role,Goal,Line Count,In Database,Description
16,"valuation_agent","agent-platform/app/agents/finance/valuation_agent.py","ValuationAgent","finance","Venture Valuation Specialist","",271,NO,"Valuation Agent - Finance Department      Estimates venture valuation using multiple methodologies i"
17,"fundraising_strategy_agent","agent-platform/app/agents/investor_relations/fundraising_strategy_agent.py","FundraisingStrategyAgent","investor_relations","Fundraising Strategist","",306,NO,"Fundraising Strategy Agent - Investor Relations Department      Designs comprehensive fundraising st"
18,"investor_targeting_agent","agent-platform/app/agents/investor_relations/investor_targeting_agent.py","InvestorTargetingAgent","investor_relations","Investor Research Specialist","",291,NO,"Investor Targeting Agent - Investor Relations Department      Identifies and prioritizes target inve"
19,"pitch_deck_agent","agent-platform/app/agents/investor_relations/pitch_deck_agent.py","PitchDeckAgent","investor_relations","Pitch Deck Strategist","",245,NO,"Pitch Deck Agent - Investor Relations Department      Designs compelling pitch decks that communicat"
20,"contract_analysis_agent","agent-platform/app/agents/legal/contract_analysis_agent.py","ContractAnalysisAgent","legal","Commercial Contracts Counsel","",395,NO,"Contract Analysis Agent - Legal & Compliance Department      Analyzes contract and legal documentati"
21,"ip_analysis_agent","agent-platform/app/agents/legal/ip_analysis_agent.py","IPAnalysisAgent","legal","Intellectual Property Counsel","",349,NO,"IP Analysis Agent - Legal & Compliance Department      Analyzes intellectual property landscape incl"
22,"market_sizing","agent-platform/app/agents/market_sizing.py","MarketSizingAgent","core","Market Research Analyst","Calculate market size (TAM/SAM/SOM) and assess market opportunity for ventures",470,NO,"Agent specialized in market sizing and opportunity analysis      Responsibilities:     - Calculate T"
23,"competitive_analysis_agent","agent-platform/app/agents/marketing/competitive_analysis_agent.py","CompetitiveAnalysisAgent","marketing","Competitive Intelligence Analyst","",94,NO,"Competitive Analysis Agent - Marketing Department      Analyzes competitive landscape, identifies ma"
24,"customer_segmentation_agent","agent-platform/app/agents/marketing/customer_segmentation_agent.py","CustomerSegmentationAgent","marketing","Market Analyst","",90,NO,"Customer Segmentation Agent - Identifies and analyzes customer segments"
25,"market_positioning_agent","agent-platform/app/agents/marketing/market_positioning_agent.py","MarketPositioningAgent","marketing","Brand Strategist","",79,NO,"Market Positioning Agent - Develops positioning strategy and value proposition"
26,"pain_point_analysis_agent","agent-platform/app/agents/marketing/pain_point_analysis_agent.py","PainPointAnalysisAgent","marketing","Customer Research Lead","",243,NO,""
27,"feature_prioritization_agent","agent-platform/app/agents/product/feature_prioritization_agent.py","FeaturePrioritizationAgent","product","Product Prioritization Lead","",271,NO,"Feature Prioritization Agent - Product Management Department      Prioritizes features using framewo"
28,"product_market_fit_agent","agent-platform/app/agents/product/product_market_fit_agent.py","ProductMarketFitAgent","product","Product Strategy Lead","",294,NO,"Product-Market Fit Agent - Product Management Department      Assesses product-market fit readiness "
29,"roadmap_agent","agent-platform/app/agents/product/roadmap_agent.py","RoadmapAgent","product","Product Roadmap Strategist","",246,NO,"Roadmap Agent - Product Management Department      Creates product roadmap with phases, milestones, "
30,"duplicate_detection_agent","agent-platform/app/agents/rd/duplicate_detection_agent.py","DuplicateDetectionAgent","rd","Market Research Analyst","",296,NO,""
31,"idea_enhancement_agent","agent-platform/app/agents/rd/idea_enhancement_agent.py","IdeaEnhancementAgent","rd","Innovation Specialist","",245,NO,""
32,"innovation_assessment_agent","agent-platform/app/agents/rd/innovation_assessment_agent.py","InnovationAssessmentAgent","rd","Technology Scout","",317,NO,""
33,"regulatory_risk","agent-platform/app/agents/regulatory_risk.py","RegulatoryRiskAgent","core","Regulatory Compliance Specialist","Identify regulatory risks and compliance requirements for ventures",171,NO,"Agent specialized in identifying regulatory risks and compliance requirements      Responsibilities:"
34,"competitive_mapper","agent-platform/app/agents/research/competitive_mapper.py","CompetitiveMapperAgent","core","Competitive Intelligence Analyst","Map competitive landscape and identify positioning opportunities for ventures",682,NO,"Agent specialized in competitive landscape mapping and positioning analysis      Responsibilities:"
35,"customer_intelligence_agent","agent-platform/app/agents/research/customer_intelligence_agent.py","CustomerIntelligenceAgent","core","Senior Customer Research Analyst","",491,NO,"Customer Intelligence Agent - Automates pre-launch customer research and persona generation      S"
36,"pain_point_validator","agent-platform/app/agents/research/pain_point_validator.py","PainPointValidatorAgent","core","Customer Pain Point Researcher","Validate customer pain points through market research and customer insights analysis",533,NO,"Agent specialized in validating customer pain points through Reddit research      Responsibilities"
37,"strategic_fit_analyzer","agent-platform/app/agents/research/strategic_fit_analyzer.py","StrategicFitAnalyzerAgent","core","Strategic Portfolio Analyst","Analyze strategic fit between venture and chairman portfolio, resources, and expertise",584,NO,"Agent specialized in strategic fit analysis for portfolio decisions      Responsibilities:     - "
38,"channel_strategy_agent","agent-platform/app/agents/sales/channel_strategy_agent.py","ChannelStrategyAgent","sales","Channel Development Lead","",294,NO,"Channel Strategy Agent - Sales Department      Develops multi-channel distribution strategy includin"
39,"gtm_strategy_agent","agent-platform/app/agents/sales/gtm_strategy_agent.py","GTMStrategyAgent","sales","Go-To-Market Strategist","",197,NO,"GTM Strategy Agent - Sales Department      Develops comprehensive go-to-market strategy including ma"
40,"sales_enablement_agent","agent-platform/app/agents/sales/sales_enablement_agent.py","SalesEnablementAgent","sales","Sales Operations Manager","",270,NO,"Sales Enablement Agent - Sales Department      Develops sales collateral, enablement materials, trai"
41,"tech_feasibility","agent-platform/app/agents/tech_feasibility.py","TechFeasibilityAgent","core","Senior Technical Architect","Assess technical viability and identify implementation risks for ventures",212,NO,"Agent specialized in assessing technical feasibility of ventures      Responsibilities:     - Evalua"
42,"architecture_agent","agent-platform/app/agents/technical/architecture_agent.py","ArchitectureAgent","core","Solutions Architect","",477,NO,"Architecture Agent - Technical/Engineering Department      Designs system architecture including tec"
43,"data_strategy_agent","agent-platform/app/agents/technical/data_strategy_agent.py","DataStrategyAgent","core","Data Architect","",235,NO,"Data Strategy Agent - Technical/Engineering Department      Designs data strategy including data arc"
44,"scalability_agent","agent-platform/app/agents/technical/scalability_agent.py","ScalabilityAgent","core","Scalability Engineer","",265,NO,"Scalability Agent - Technical/Engineering Department      Analyzes scalability requirements and desi"
45,"security_agent","agent-platform/app/agents/technical/security_agent.py","SecurityAgent","core","Security Architect","",267,NO,"Security Agent - Technical/Engineering Department      Designs security architecture including authe"
